tweets,a,b,c,d,e,f,g,h,i,f
"CaterpillarsEnd;2011-04-29 18:25;0;0;""Disaster Needed for US to Act on Climate Change  Harvard's Stavins Says http://bit.ly/jjrZLP"";;;;""64108029704011776"";https://twitter.com/CaterpillarsEnd/status/64108029704011776 ",,,,,"CaterpillarsEnd;2011-04-29 18:25;0;0;""Disaster Needed for US to Act on Climate Change",," Harvard's Stavins Says http://bit.ly/jjrZLP"";;;;""64108029704011776"";https://twitter.com/CaterpillarsEnd/status/64108029704011776",,"CaterpillarsEnd;2011-04-29 18:25;0;0;""Disaster Needed for US to Act on Climate Change  Harvard's Stavins Says http://bit.ly/jjrZLP"";;;;""64108029704011776"";https://twitter.com/CaterpillarsEnd/status/64108029704011776",
"Greengamma;2011-04-29 18:25;0;0;""Disaster Needed for US to Act on Climate Change  Harvard's Stavins Says http://bit.ly/lTDbPQ"";;;;""64108025593610241"";https://twitter.com/Greengamma/status/64108025593610241 ",,,,,"Greengamma;2011-04-29 18:25;0;0;""Disaster Needed for US to Act on Climate Change",," Harvard's Stavins Says http://bit.ly/lTDbPQ"";;;;""64108025593610241"";https://twitter.com/Greengamma/status/64108025593610241",,"Greengamma;2011-04-29 18:25;0;0;""Disaster Needed for US to Act on Climate Change  Harvard's Stavins Says http://bit.ly/lTDbPQ"";;;;""64108025593610241"";https://twitter.com/Greengamma/status/64108025593610241",
"jasonmdallen;2011-04-29 18:24;0;0;""# Environment Royal Weddings and Climate Change http://ow.ly/1cpxE9"";;;#;""64107941111939072"";https://twitter.com/jasonmdallen/status/64107941111939072  ",,,,,"jasonmdallen;2011-04-29 18:24;0;0;""# Environment Royal Weddings and Climate Change http://ow.ly/1cpxE9"";;;#;""64107941111939072"";https://twitter.com/jasonmdallen/status/64107941111939072",,,,"jasonmdallen;2011-04-29 18:24;0;0;""# Environment Royal Weddings and Climate Change http://ow.ly/1cpxE9"";;;#;""64107941111939072"";https://twitter.com/jasonmdallen/status/64107941111939072 ",
"jasonmdallen;2011-04-29 18:24;0;0;""# Environment Brown Recluse Spiders May Spread Across US Due To Climate Change http://ow.ly/1cpxEa"";;;#;""64107940214353920"";https://twitter.com/jasonmdallen/status/64107940214353920  ",,,,,"jasonmdallen;2011-04-29 18:24;0;0;""# Environment Brown Recluse Spiders May Spread Across US Due To Climate Change http://ow.ly/1cpxEa"";;;#;""64107940214353920"";https://twitter.com/jasonmdallen/status/64107940214353920",,,,"jasonmdallen;2011-04-29 18:24;0;0;""# Environment Brown Recluse Spiders May Spread Across US Due To Climate Change http://ow.ly/1cpxEa"";;;#;""64107940214353920"";https://twitter.com/jasonmdallen/status/64107940214353920 ",
"DanRodricks;2011-04-29 18:24;0;0;""HOT author @ MarkHertsgaard @ MiddayWYPR Monday at 1 pm EDT  on energy generation and climate change: Listen live: www.wypr.org"";;@ @;;""64107722454474752"";https://twitter.com/DanRodricks/status/64107722454474752 ",,,,,"DanRodricks;2011-04-29 18:24;0;0;""HOT author @ MarkHertsgaard @ MiddayWYPR Monday at 1 pm EDT",," on energy generation and climate change: Listen live: www.wypr.org"";;@ @;;""64107722454474752"";https://twitter.com/DanRodricks/status/64107722454474752",,"DanRodricks;2011-04-29 18:24;0;0;""HOT author @ MarkHertsgaard @ MiddayWYPR Monday at 1 pm EDT  on energy generation and climate change: Listen live: www.wypr.org"";;@ @;;""64107722454474752"";https://twitter.com/DanRodricks/status/64107722454474752",
"AGW_IS_A_HOAX;2011-04-29 18:23;1;0;""Skeptical Science Cheating 5X http://stevengoddard.wordpress.com/2011/04/29/skeptical-science-cheating-4x/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64107449422057472"";https://twitter.com/AGW_IS_A_HOAX/status/64107449422057472  ",,,,,"AGW_IS_A_HOAX;2011-04-29 18:23;1;0;""Skeptical Science Cheating 5X http://stevengoddard.wordpress.com/2011/04/29/skeptical-science-cheating-4x/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64107449422057472"";https://twitter.com/AGW_IS_A_HOAX/status/64107449422057472",,,,"AGW_IS_A_HOAX;2011-04-29 18:23;1;0;""Skeptical Science Cheating 5X http://stevengoddard.wordpress.com/2011/04/29/skeptical-science-cheating-4x/ … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64107449422057472"";https://twitter.com/AGW_IS_A_HOAX/status/64107449422057472 ",
"NorthernCenter;2011-04-29 18:22;0;0;""Inuit Knowledge and Climate Change Schiable Auditorium at UAF 7pm TONIGHT! April 29  2011 fReE http://fb.me/vIB3wVj5"";;;;""64107289816203265"";https://twitter.com/NorthernCenter/status/64107289816203265 ",,,,,"NorthernCenter;2011-04-29 18:22;0;0;""Inuit Knowledge and Climate Change Schiable Auditorium at UAF 7pm TONIGHT! April 29",," 2011 fReE http://fb.me/vIB3wVj5"";;;;""64107289816203265"";https://twitter.com/NorthernCenter/status/64107289816203265",,"NorthernCenter;2011-04-29 18:22;0;0;""Inuit Knowledge and Climate Change Schiable Auditorium at UAF 7pm TONIGHT! April 29  2011 fReE http://fb.me/vIB3wVj5"";;;;""64107289816203265"";https://twitter.com/NorthernCenter/status/64107289816203265",
"LAGilman;2011-04-29 18:21;1;0;""@ KateElliottSFF Mega storms. More on the way  probably. They're using terms like ""climate change."" Liberal plot  I'm sure."";;@;;""64107180554588160"";https://twitter.com/LAGilman/status/64107180554588160",," I'm sure."";;@;;""64107180554588160"";https://twitter.com/LAGilman/status/64107180554588160",,,"LAGilman;2011-04-29 18:21;1;0;""@ KateElliottSFF Mega storms. More on the way",," probably. They're using terms like ""climate change."" Liberal plot",,"LAGilman;2011-04-29 18:21;1;0;""@ KateElliottSFF Mega storms. More on the way  probably. They're using terms like ""climate change."" Liberal plot",
"TM_Climate;2011-04-29 18:21;0;0;""Hot Topic: A lesson in climate change and chili peppers | Marketplace From Ame.. http://bit.ly/jXuytr (via @ chelseagreen)"";;@;;""64107093258551297"";https://twitter.com/TM_Climate/status/64107093258551297  ",,,,,"TM_Climate;2011-04-29 18:21;0;0;""Hot Topic: A lesson in climate change and chili peppers | Marketplace From Ame.. http://bit.ly/jXuytr (via @ chelseagreen)"";;@;;""64107093258551297"";https://twitter.com/TM_Climate/status/64107093258551297",,,,"TM_Climate;2011-04-29 18:21;0;0;""Hot Topic: A lesson in climate change and chili peppers | Marketplace From Ame.. http://bit.ly/jXuytr (via @ chelseagreen)"";;@;;""64107093258551297"";https://twitter.com/TM_Climate/status/64107093258551297 ",
"lvr310;2011-04-29 18:20;0;0;""Yglesias » Climate Change Is Not Interested In Who Deserves What: An outraged Tabitha Hale accused Johnson of “a... http://bit.ly/jYfjPa"";;;;""64106884055044096"";https://twitter.com/lvr310/status/64106884055044096  ",,,,,"lvr310;2011-04-29 18:20;0;0;""Yglesias » Climate Change Is Not Interested In Who Deserves What: An outraged Tabitha Hale accused Johnson of “a... http://bit.ly/jYfjPa"";;;;""64106884055044096"";https://twitter.com/lvr310/status/64106884055044096",,,,"lvr310;2011-04-29 18:20;0;0;""Yglesias » Climate Change Is Not Interested In Who Deserves What: An outraged Tabitha Hale accused Johnson of “a... http://bit.ly/jYfjPa"";;;;""64106884055044096"";https://twitter.com/lvr310/status/64106884055044096 ",
"floodtechs;2011-04-29 18:20;0;0;""2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? - Huffington Post"";;;;""64106725350973440"";https://twitter.com/floodtechs/status/64106725350973440  ",,,,,"floodtechs;2011-04-29 18:20;0;0;""2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? - Huffington Post"";;;;""64106725350973440"";https://twitter.com/floodtechs/status/64106725350973440",,,,"floodtechs;2011-04-29 18:20;0;0;""2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? - Huffington Post"";;;;""64106725350973440"";https://twitter.com/floodtechs/status/64106725350973440 ",
"Douglas_Main;2011-04-29 18:15;0;0;""Protect Our Forests from Climate Change: http://bit.ly/lC1iNY via @ addthis"";;@;;""64105495916593152"";https://twitter.com/Douglas_Main/status/64105495916593152  ",,,,,"Douglas_Main;2011-04-29 18:15;0;0;""Protect Our Forests from Climate Change: http://bit.ly/lC1iNY via @ addthis"";;@;;""64105495916593152"";https://twitter.com/Douglas_Main/status/64105495916593152",,,,"Douglas_Main;2011-04-29 18:15;0;0;""Protect Our Forests from Climate Change: http://bit.ly/lC1iNY via @ addthis"";;@;;""64105495916593152"";https://twitter.com/Douglas_Main/status/64105495916593152 ",
"climatenews;2011-04-29 18:09;0;0;""Brown Recluse Spiders May Spread Across US Due To Climate Change - Huffington Post http://huff.to/iWCfae"";;;;""64104090493399040"";https://twitter.com/climatenews/status/64104090493399040  ",,,,,"climatenews;2011-04-29 18:09;0;0;""Brown Recluse Spiders May Spread Across US Due To Climate Change - Huffington Post http://huff.to/iWCfae"";;;;""64104090493399040"";https://twitter.com/climatenews/status/64104090493399040",,,,"climatenews;2011-04-29 18:09;0;0;""Brown Recluse Spiders May Spread Across US Due To Climate Change - Huffington Post http://huff.to/iWCfae"";;;;""64104090493399040"";https://twitter.com/climatenews/status/64104090493399040 ",
"smbthomas;2011-04-29 18:07;0;0;""Jonah Goldberg: Obama drops all the talk of climate change - baltimoresun.com http://www.baltimoresun.com/news/opinion/oped/bs-ed-goldberg-20110427 0 2430644.story …"";;;;""64103539198263296"";https://twitter.com/smbthomas/status/64103539198263296",,"2430644.story …"";;;;""64103539198263296"";https://twitter.com/smbthomas/status/64103539198263296",,,"smbthomas;2011-04-29 18:07;0;0;""Jonah Goldberg: Obama drops all the talk of climate change - baltimoresun.com http://www.baltimoresun.com/news/opinion/oped/bs-ed-goldberg-20110427",,0,,"smbthomas;2011-04-29 18:07;0;0;""Jonah Goldberg: Obama drops all the talk of climate change - baltimoresun.com http://www.baltimoresun.com/news/opinion/oped/bs-ed-goldberg-20110427 0",
"robertdmckinnon;2011-04-29 18:07;0;0;""Protect Our Forests from Climate Change: http://bit.ly/joQKvu  via @ addthis"";;@;;""64103444667039745"";https://twitter.com/robertdmckinnon/status/64103444667039745  ",,,,,"robertdmckinnon;2011-04-29 18:07;0;0;""Protect Our Forests from Climate Change: http://bit.ly/joQKvu  via @ addthis"";;@;;""64103444667039745"";https://twitter.com/robertdmckinnon/status/64103444667039745",,,,"robertdmckinnon;2011-04-29 18:07;0;0;""Protect Our Forests from Climate Change: http://bit.ly/joQKvu  via @ addthis"";;@;;""64103444667039745"";https://twitter.com/robertdmckinnon/status/64103444667039745 ",
"EcoTopics;2011-04-29 18:05;0;0;""Blaming tornados on climate change ""deniers"" http://rttopics.com/cli:3 # rtt # topics # talk"";;;# # #;""64103161413115904"";https://twitter.com/EcoTopics/status/64103161413115904  ",,,,,"EcoTopics;2011-04-29 18:05;0;0;""Blaming tornados on climate change ""deniers"" http://rttopics.com/cli:3 # rtt # topics # talk"";;;# # #;""64103161413115904"";https://twitter.com/EcoTopics/status/64103161413115904",,,,"EcoTopics;2011-04-29 18:05;0;0;""Blaming tornados on climate change ""deniers"" http://rttopics.com/cli:3 # rtt # topics # talk"";;;# # #;""64103161413115904"";https://twitter.com/EcoTopics/status/64103161413115904 ",
"subodh1945;2011-04-29 18:03;0;0;""Earth Day: How much do you know about climate change? Take our quiz. http://www.csmonitor.com/Environment/2011/0422/Earth-Day-How-much-do-you-know-about-climate-change-Take-our-quiz … via @ AddThis"";;@;;""64102495064047616"";https://twitter.com/subodh1945/status/64102495064047616  ",,,,,"subodh1945;2011-04-29 18:03;0;0;""Earth Day: How much do you know about climate change? Take our quiz. http://www.csmonitor.com/Environment/2011/0422/Earth-Day-How-much-do-you-know-about-climate-change-Take-our-quiz … via @ AddThis"";;@;;""64102495064047616"";https://twitter.com/subodh1945/status/64102495064047616",,,,"subodh1945;2011-04-29 18:03;0;0;""Earth Day: How much do you know about climate change? Take our quiz. http://www.csmonitor.com/Environment/2011/0422/Earth-Day-How-much-do-you-know-about-climate-change-Take-our-quiz … via @ AddThis"";;@;;""64102495064047616"";https://twitter.com/subodh1945/status/64102495064047616 ",
"windshare;2011-04-29 18:03;0;0;""New Saxe Enviro Post Mumbling about climate change: As you’ve probably noticed  no one is talking abo... http://bit.ly/ioSbhs"";;;;""64102477942882304"";https://twitter.com/windshare/status/64102477942882304 ",,,,,"windshare;2011-04-29 18:03;0;0;""New Saxe Enviro Post Mumbling about climate change: As you’ve probably noticed",," no one is talking abo... http://bit.ly/ioSbhs"";;;;""64102477942882304"";https://twitter.com/windshare/status/64102477942882304",,"windshare;2011-04-29 18:03;0;0;""New Saxe Enviro Post Mumbling about climate change: As you’ve probably noticed  no one is talking abo... http://bit.ly/ioSbhs"";;;;""64102477942882304"";https://twitter.com/windshare/status/64102477942882304",
"AGRSSOR;2011-04-29 18:02;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change http://huff.to/mcjVkh"";;;;""64102292802125824"";https://twitter.com/AGRSSOR/status/64102292802125824  ",,,,,"AGRSSOR;2011-04-29 18:02;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change http://huff.to/mcjVkh"";;;;""64102292802125824"";https://twitter.com/AGRSSOR/status/64102292802125824",,,,"AGRSSOR;2011-04-29 18:02;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change http://huff.to/mcjVkh"";;;;""64102292802125824"";https://twitter.com/AGRSSOR/status/64102292802125824 ",
"OfficialGreenLA;2011-04-29 18:02;0;0;""5/2 8am-4pm Adapting to Climate Change in SoCal - Join top scientists ('07 Nobel Peace Prize recipients... http://fb.me/J0tYQs12"";;;;""64102266071810048"";https://twitter.com/OfficialGreenLA/status/64102266071810048  ",,,,,"OfficialGreenLA;2011-04-29 18:02;0;0;""5/2 8am-4pm Adapting to Climate Change in SoCal - Join top scientists ('07 Nobel Peace Prize recipients... http://fb.me/J0tYQs12"";;;;""64102266071810048"";https://twitter.com/OfficialGreenLA/status/64102266071810048",,,,"OfficialGreenLA;2011-04-29 18:02;0;0;""5/2 8am-4pm Adapting to Climate Change in SoCal - Join top scientists ('07 Nobel Peace Prize recipients... http://fb.me/J0tYQs12"";;;;""64102266071810048"";https://twitter.com/OfficialGreenLA/status/64102266071810048 ",
"therightblue;2011-04-29 18:02;0;0;""RT @Rumana31_Khan: African # ocean current could boost Gulf Stream: study http://zite.to/j1i1qD # environment # climatechange"";;@Rumana31_Khan;# # #;""64102172492709889"";https://twitter.com/therightblue/status/64102172492709889  ",,,,,"therightblue;2011-04-29 18:02;0;0;""RT @Rumana31_Khan: African # ocean current could boost Gulf Stream: study http://zite.to/j1i1qD # environment # climatechange"";;@Rumana31_Khan;# # #;""64102172492709889"";https://twitter.com/therightblue/status/64102172492709889",,,,"therightblue;2011-04-29 18:02;0;0;""RT @Rumana31_Khan: African # ocean current could boost Gulf Stream: study http://zite.to/j1i1qD # environment # climatechange"";;@Rumana31_Khan;# # #;""64102172492709889"";https://twitter.com/therightblue/status/64102172492709889 ",
"smbthomas;2011-04-29 18:01;0;0;""The folly of linking tornado outbreaks to ""climate change"": http://wp.me/p7y4l-a90"";;;;""64102093014831104"";https://twitter.com/smbthomas/status/64102093014831104  ",,,,,"smbthomas;2011-04-29 18:01;0;0;""The folly of linking tornado outbreaks to ""climate change"": http://wp.me/p7y4l-a90"";;;;""64102093014831104"";https://twitter.com/smbthomas/status/64102093014831104",,,,"smbthomas;2011-04-29 18:01;0;0;""The folly of linking tornado outbreaks to ""climate change"": http://wp.me/p7y4l-a90"";;;;""64102093014831104"";https://twitter.com/smbthomas/status/64102093014831104 ",
"LawyerNexus;2011-04-29 18:01;0;0;""Mumbling about climate change: As you’ve probably noticed  no one is talking about climate change in the federal... http://bit.ly/kZLGO3"";;;;""64102060475432962"";https://twitter.com/LawyerNexus/status/64102060475432962 ",,,,,"LawyerNexus;2011-04-29 18:01;0;0;""Mumbling about climate change: As you’ve probably noticed",," no one is talking about climate change in the federal... http://bit.ly/kZLGO3"";;;;""64102060475432962"";https://twitter.com/LawyerNexus/status/64102060475432962",,"LawyerNexus;2011-04-29 18:01;0;0;""Mumbling about climate change: As you’ve probably noticed  no one is talking about climate change in the federal... http://bit.ly/kZLGO3"";;;;""64102060475432962"";https://twitter.com/LawyerNexus/status/64102060475432962",
